otu name,16rRNA,Kingdom,Phylum,Class,Order,Family,Genus,Species,AK001,AK002,AK003,AK004,AK005,AK006,AK007,AK008,AK009,AK010,AK011,AK012,AK013,AK014,AK015,AK016,AK017,AK018,AK019,AK020,AK021,AK022,AK023,AK024,AK025,AK026,AK027,AK028,AK029,AK030,AK031,AK032,AK033,AK034,AK035,AK036,AK037,AK038,AK039,AK040,AK041,AK042,AK043,AK044,AK045,AK046,AK047,AK048,AK049,AK050,AK051,AK052,AK053,AK054,AK055,AK056,AK057,AK058,AK059,AK060,AK061,AK062,AK063,AK064,AK065,AK066,AK067,AK068,AK069,AK070,AK071,AK072,AK073,AK074,AK075,AK076,AK077,AK078,AK079,AK080,AK081,AK082,AK083,AK084,AK085,AK086,AK087,AK088,AK089,AK090,AK091,AK092,AK093,AK094,AK095,AK096,AK097,AK098,AK099,AK100,AK101
OTU_114,uncultured desulfosarcina sp. ,k__bacteria,p__proteobacteria,c__deltaproteobacteria,o__desulfobacterales,f__desulfobacteraceae,g__desulfosarcina,s__desulfosarcina spp.,0.477121255,0,0,0,0.301029996,0,0,0,0,0,0.477121255,0,0,0,0,0.301029996,0,0.301029996,0,0.477121255,0.301029996,0,0,0,0,0,0,0.477121255,0.77815125,0,0,0,0,0.77815125,0.477121255,0,0.698970004,0,2.214843848,0.301029996,1.322219295,1.079181246,0.477121255,0.477121255,0,0,0,0,0,0,0,1.380211242,0.903089987,0.903089987,0.954242509,0.602059991,0.954242509,1.146128036,3.310905629,2.285557309,1.491361694,3.052693942,3.495405563,1.255272505,1.079181246,1.86332286,2.330413773,1.361727836,1.113943352,0.477121255,1.612783857,0.698970004,0.77815125,0.602059991,1.322219295,0.698970004,1,0.698970004,0,0.602059991,0.698970004,0.954242509,1.361727836,0.602059991,0,0.84509804,0.602059991,0.477121255,1,1.176091259,0.903089987,0.698970004,0.301029996,1.146128036,0,1.204119983,0.698970004,0,0,0.903089987,0.477121255
OTU_91,uncultured acidisphaera sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acidisphaera,s__acidisphaera spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02094106,1.079181246,1.857332496,1.653212514,1,1.322219295,0.903089987,1.929418926,1.770852012,1.944482672,1.763427994,1.86923172,1.041392685,1.531478917,1,1.602059991,1.579783597,1.301029996,0.698970004,1.662757832,0.602059991,1.146128036,0.602059991,1.826074803,0.903089987,1.447158031,1.568201724,1.556302501,0.77815125,0.954242509,1.556302501,1.77815125,1.079181246,0.954242509,1.544068044,1.230448921,0.602059991,1,1.204119983,0.903089987,0.301029996,0.301029996,1.477121255,1.255272505,2.225309282,0.602059991,0,0,1.591064607,1.176091259
OTU_297,uncultured cytophaga sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__cytophaga,s__cytophaga spp.,0.477121255,0.602059991,0.301029996,0.477121255,0.602059991,0.602059991,0.602059991,0.301029996,0.477121255,0,0.301029996,0.602059991,0.477121255,0.602059991,0.301029996,0.602059991,0.477121255,0,0.301029996,0.77815125,1.755874856,2.53529412,1.477121255,1.079181246,0.77815125,1.785329835,1.602059991,1.913813852,1.832508913,2.812913357,3.024485668,1.903089987,2.57634135,1.799340549,1.755874856,0.602059991,1.361727836,0.477121255,0.477121255,0,0.903089987,0.84509804,1.113943352,0.77815125,0.77815125,1.041392685,2.361727836,1.041392685,0,0,0.602059991,0,0.301029996,0,0.477121255,0,0.301029996,0,1.342422681,0.301029996,0,0.84509804,1.113943352,2.451786436,1.230448921,0.698970004,0.84509804,0.477121255,1.255272505,0,0.301029996,0,0,0,0,0,0.301029996,0.301029996,0,0,0,0,0,0,0,0.301029996,0,0,0,0.301029996,0,0,0,0.301029996,0,0,0,0,0,0,0.301029996
OTU_15820,lyngbya cf. aestuarii lege 07165 ,k__bacteria,p__cyanobacteria,c__cyanobacteria,o__oscillatoriales,f__oscillatoriales,g__lyngbya,s__lyngbya aestuarii,1.113943352,0.954242509,0.698970004,0.301029996,0.301029996,0.84509804,0.698970004,0.301029996,0.77815125,0.301029996,0.477121255,0.301029996,0.301029996,0.602059991,0.602059991,0,0.602059991,0.477121255,0.84509804,0.301029996,0.77815125,2.521138084,1.204119983,2.170261715,0.77815125,2.320146286,0.698970004,1,1.113943352,1.041392685,2.444044796,1.633468456,2.831229694,0.84509804,0.698970004,1.748188027,1.77815125,0.301029996,0.301029996,0.301029996,1.204119983,1.146128036,0.77815125,0.84509804,1.505149978,2.480006943,1.380211242,1.672097858,0.477121255,0.602059991,0.301029996,0.301029996,0,0,0.477121255,0,0.477121255,0,0.301029996,0,0.301029996,0,0,1.361727836,1.934498451,1.748188027,0.84509804,0,1.255272505,0,0.602059991,0.301029996,0,0,0.698970004,0.301029996,0,0,0,0,0,0.301029996,0.477121255,0,0,0,0,0,0,0,0,0,0,0.698970004,0.602059991,0.602059991,0,0,0,0.301029996,0
OTU_569,jatrophihabitans endophyticus ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__frankiaceae,g__jatrophihabitans,s__jatrophihabitans endophyticus,0.954242509,0.301029996,0.602059991,0.77815125,0.477121255,0.84509804,0.602059991,0,0.602059991,0.698970004,2.934498451,0.698970004,0.84509804,2.201397124,2.348304863,2.158362492,0.698970004,0,2.539076099,1.51851394,0.84509804,0.602059991,0.84509804,0.84509804,0.602059991,0.602059991,0.301029996,1,0.77815125,0.602059991,0.84509804,0.477121255,0.602059991,0.903089987,0.903089987,0.301029996,1.041392685,0.602059991,0.477121255,0.77815125,1.544068044,1.146128036,0.903089987,0.698970004,0,0.602059991,0.477121255,0.698970004,0.77815125,0.698970004,2.184691431,0.602059991,1.397940009,2.318063335,0.301029996,1.556302501,0,0.698970004,0.477121255,1.176091259,0.301029996,0.903089987,0.602059991,0.698970004,0.301029996,0,0.477121255,0,0,0,1,0,0,0,0.301029996,0,1.770852012,0,0,0,0,0.301029996,0,0,0,0,0.301029996,0,0.301029996,0.477121255,0,0,0,0.477121255,0,0.602059991,0,0,0,0,0.602059991
OTU_17207,uncultured rhodobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodobacterales,f__rhodobacteraceae,g__rhodobacter,s__rhodobacter spp.,0,0.301029996,0.602059991,0.301029996,0,0.698970004,0.477121255,0.477121255,0,0,0.301029996,0.301029996,0.301029996,0.477121255,0,0.77815125,0.477121255,0,0.301029996,0.301029996,1.531478917,1.785329835,1.176091259,0,0,1.342422681,0.602059991,0.77815125,1.785329835,0.301029996,1.079181246,0.301029996,0.301029996,1.146128036,1.301029996,0,1.812913357,0.301029996,0.84509804,0,1.462397998,1.322219295,2.230448921,1.447158031,0,0.477121255,0.698970004,0.602059991,0.301029996,0.477121255,0,1.204119983,0.477121255,0,0.698970004,0.477121255,0.698970004,0.84509804,1.380211242,1.740362689,1.62324929,1.230448921,1.361727836,0.602059991,1.146128036,1.886490725,2.606381365,2.499687083,0.477121255,0,0.602059991,0,0.301029996,0,0.698970004,0,0.301029996,0,0,0.77815125,0.301029996,0.301029996,0.602059991,0.602059991,0,0.602059991,0.77815125,0,0.698970004,0,0.301029996,0,0.301029996,0.602059991,0.477121255,0.698970004,0.301029996,0,0,0.602059991,1.079181246
OTU_5898,sugarcane phytoplasma (uncharacterized) ,k__bacteria,p__tenericutes,c__mollicutes,o__acholeplasmatales,f__acholeplasmataceae,g__candidatus phytoplasma,s__sugarcane phytoplasma (uncharacterized),1.431363764,1.146128036,0.903089987,0.477121255,0,0.477121255,1.146128036,0,0.602059991,0.698970004,2.78604121,0.477121255,0.602059991,0.84509804,0.602059991,1.491361694,0.602059991,0.698970004,0.77815125,0.301029996,0.602059991,0,0.477121255,0.301029996,0.301029996,0.698970004,0,0.301029996,0.301029996,0.477121255,0.602059991,0,0.602059991,0.477121255,0.301029996,2.08278537,0.602059991,0.698970004,0.477121255,0.301029996,1,0,0.301029996,1.462397998,0.301029996,2.056904851,1.397940009,0.301029996,0,1.146128036,0.477121255,2.541579244,0.301029996,0.477121255,1.146128036,0.602059991,0.77815125,1.113943352,1.113943352,0.301029996,0,0.301029996,0.477121255,1.230448921,0.477121255,0,1.491361694,0.602059991,0.477121255,0.301029996,0,0,0.301029996,0,1.176091259,0,1.113943352,0.301029996,0.698970004,0.477121255,1.301029996,0.602059991,0,0.698970004,1.973127854,0.301029996,0,0.602059991,0.477121255,0.301029996,0.602059991,0.477121255,1.51851394,0,0,0.301029996,0.477121255,0,0,1.079181246,0.698970004
OTU_53,uncultured thermomicrobium sp. ,k__bacteria,p__chloroflexi,c__thermomicrobia,o__thermomicrobiales,f__thermomicrobiaceae,g__thermomicrobium,s__thermomicrobium spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176091259,0.77815125,0.477121255,1.041392685,0.903089987,1.477121255,1.255272505,1.633468456,1.51851394,1.079181246,1.633468456,1.681241237,0.903089987,0.84509804,0.903089987,1.342422681,1.041392685,0.77815125,0.903089987,1.851258349,2.826074803,1.113943352,2.338456494,3.520090328,3.479143248,1.041392685,0.301029996,0,2.350248018,0.84509804,3.150449409,3.817036226,0.301029996,0.301029996,0.698970004,0.77815125,0.698970004,0.698970004,1.041392685,0.84509804,2.940018155,0.698970004,1.431363764,0.698970004,1.72427587,0.698970004,0,0,0.698970004,1.041392685
OTU_11188,uncultured sphingomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__sphingomonadales,f__sphingomonadaceae,g__sphingomonas,s__sphingomonas spp.,0.602059991,0.301029996,0,0.301029996,0.477121255,1.447158031,0.301029996,1.113943352,0.301029996,0.477121255,0.477121255,0.301029996,0,1.041392685,0,2.494154594,0,0.301029996,0.301029996,0.602059991,1.079181246,0.301029996,0.477121255,2.267171728,0.301029996,0.602059991,0.301029996,1.204119983,0.903089987,0.477121255,0.77815125,0.698970004,0.77815125,1.146128036,1.041392685,0.301029996,0.477121255,0.477121255,0.477121255,0.301029996,0.84509804,0.477121255,0.954242509,0.698970004,0,0.602059991,0.602059991,0.698970004,1.361727836,0,1.146128036,1.62324929,2.822168079,1.146128036,1.079181246,0.477121255,0.477121255,0.602059991,1.255272505,0.77815125,1.255272505,0.698970004,1,0.477121255,0.602059991,1.176091259,1.278753601,0.903089987,0.301029996,0,0.77815125,0.477121255,0,0,1.414973348,0.477121255,0.477121255,0,0.301029996,0.477121255,0,0,0.602059991,2.167317335,0.698970004,0.602059991,1.361727836,0.477121255,0.301029996,0.477121255,0.301029996,0,0,0.301029996,0,0.602059991,0,0,0,0.301029996,0
OTU_15672,gq032567.1 topographical and temporal human skin microbiome skin volar forearm clone nbw908e11c1  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,0.698970004,0.477121255,0.301029996,0,1.880813592,2.781036939,0.301029996,0.301029996,0.698970004,0.698970004,1.230448921,0.602059991,0.477121255,0,0.301029996,1.934498451,0.602059991,0,0,0,0.477121255,0.477121255,0.602059991,0.301029996,0.301029996,1,0.477121255,0.84509804,1.041392685,0.301029996,0.698970004,0.301029996,0,0.698970004,0.84509804,0.301029996,0.698970004,0,0,0,0.77815125,0.301029996,0.77815125,0.84509804,0.477121255,0.301029996,0.301029996,0.301029996,0,0.602059991,0.301029996,1.944482672,0.477121255,2.945468585,2.45484486,0.301029996,0.84509804,0.84509804,1.041392685,0.602059991,1.230448921,0.954242509,1.176091259,0.477121255,0.602059991,0.698970004,1.079181246,0.698970004,0,0.301029996,1.041392685,0.698970004,0.301029996,0,1.113943352,0,0.698970004,0.84509804,0,0.301029996,0,0.477121255,0.602059991,0.602059991,0.301029996,0.77815125,1.968482949,0.477121255,1.322219295,0.698970004,0,0,0,0.477121255,0.301029996,1.176091259,0.301029996,0,0,1.51851394,0.698970004
